"Trap","Year","Start.date","Start.month","End.date","End.month","Empty","o/u","FHL","Family","Genus","Art","Species","Number","Stratum","TreeSp"
"14",2017,26,4,10,5,"3","u","93-.044-.013-.a","Curculionidae","Sitona","sulcifrons sulcifrons","Sitona sulcifrons sulcifrons",2,"Upper","Fraxinus"
"14",2017,26,4,10,5,"3","u","50-.009-.001-.","Nitidulidae","Epuraea","melanocephala","Epuraea melanocephala",1,"Upper","Fraxinus"
"14",2017,26,4,10,5,"3","u","30-.005-.009-.","Dasytidae","Dasytes","aeratus","Dasytes aeratus",1,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"14",2017,30,8,13,9,"12","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",4,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","93-.078-.005-.","Curculionidae","Rhyncolus","punctatulus","Rhyncolus punctatulus",1,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",3,"Upper","Fraxinus"
"14",2017,26,4,10,5,"3","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"14",2017,23,5,7,6,"5","u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","Dromius quadrimaculatus",1,"Upper","Fraxinus"
"14",2017,13,9,27,9,"13","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Upper","Fraxinus"
"14",2017,13,9,27,9,"13","o","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Upper","Fraxinus"
"14",2017,13,9,27,9,"13","o","62-.031-.001-.","Coccinellidae","Calvia","decemguttata","Calvia decemguttata",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","73-.004-.010-.","Scraptiidae","Anaspis","maculata","Anaspis maculata",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","Athous haemorrhoidalis",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",5,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","70-.004-.0021.","Oedemeridae","Nacerdes","carniolica","Nacerdes carniolica",1,"Upper","Fraxinus"
"14",2017,21,6,5,7,"7","u","93-.126-.001-.","Curculionidae","Limobius","borealis","Limobius borealis",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","93-.078-.005-.","Curculionidae","Rhyncolus","punctatulus","Rhyncolus punctatulus",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Upper","Fraxinus"
"14",2017,26,4,10,5,"3","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Upper","Fraxinus"
"14",2017,2,8,16,8,"10","u","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Upper","Fraxinus"
"14",2017,2,8,16,8,"10","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Upper","Fraxinus"
"14",2017,2,8,16,8,"10","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","23-.xxx-.xxx-.","Staphylinidae","Staphylininae","spec.","Staphylininae spec.",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","27-.002-.008-.","Cantharidae","Cantharis","pellucida","Cantharis pellucida",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","87-.063-.001-.","Cerambycidae","Anaglyptus","mysticus","Anaglyptus mysticus",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",2,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",2,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","91-.036-.005-.","Curculionidae","Xyleborus","monographus","Xyleborus monographus",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",5,"Upper","Fraxinus"
"14",2017,21,6,5,7,"7","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",4,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","23-.114-.007-.","Staphylinidae","Tachyporus","hypnorum","Tachyporus hypnorum",1,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",10,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","01-.080-.002-.","Carabidae","Syntomus","foveatus","Syntomus foveatus",1,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","93-.1804.005-.","Curculionidae","Orchestes","quercus","Orchestes quercus",1,"Upper","Fraxinus"
"14",2017,12,4,26,4,"2","u","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","601.008-.003-.","Corylophidae","Orthoperus","atomus","Orthoperus atomus",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","01-.065-.026-.","Carabidae","Amara","familiaris","Amara familiaris",1,"Upper","Fraxinus"
"14",2017,16,8,30,8,"11","u","01-.021-.006-.","Carabidae","Trechus","quadristriatus","Trechus quadristriatus",2,"Upper","Fraxinus"
"14",2017,30,8,13,9,"12","o","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",2,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","Athous haemorrhoidalis",1,"Upper","Fraxinus"
"14",2017,21,6,5,7,"7","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Upper","Fraxinus"
"14",2017,16,8,30,8,"11","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",2,"Upper","Fraxinus"
"14",2017,21,6,5,7,"7","u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","38-.020-.004-.","Buprestidae","Agrilus","laticornis","Agrilus laticornis",1,"Upper","Fraxinus"
"14",2017,21,6,5,7,"7","u","87-.087-.001-.","Cerambycidae","Tetrops","praeustus","Tetrops praeustus",1,"Upper","Fraxinus"
"14",2017,12,4,26,4,"2","u","93-.044-.010-.","Curculionidae","Sitona","lineatus","Sitona lineatus",1,"Upper","Fraxinus"
"14",2017,29,3,12,4,"1","u","93-.044-.010-.","Curculionidae","Sitona","lineatus","Sitona lineatus",1,"Upper","Fraxinus"
"14",2017,12,4,26,4,"2","u","55-.014-.016-.","Cryptophagidae","Atomaria","lewisi","Atomaria lewisi",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","Adalia decempunctata",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Upper","Fraxinus"
"14",2017,12,4,26,4,"2","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",4,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","73-.004-.010-.","Scraptiidae","Anaspis","maculata","Anaspis maculata",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",2,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","54-.001-.001-.","Erotylidae","Tritoma","bipustulata","Tritoma bipustulata",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","30-.005-.009-.","Dasytidae","Dasytes","aeratus","Dasytes aeratus",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","u","83-.020-.001-.","Tenebrionidae","Platydema","violacea","Platydema violacea",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","o","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Stenagostus rhombeus",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Upper","Fraxinus"
"14",2017,7,6,21,6,"6","o","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",3,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",2,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",10,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","Adalia decempunctata",1,"Upper","Fraxinus"
"14",2017,5,7,19,7,"8","o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",4,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"14",2017,10,5,23,5,"4","u","91-.011-.001-.","Curculionidae","Hylesinus","crenatus","Hylesinus crenatus",1,"Upper","Fraxinus"
"14",2017,19,7,2,8,"9","u","38-.020-.014-.","Buprestidae","Agrilus","convexicollis","Agrilus convexicollis",1,"Upper","Fraxinus"
"15",2017,7,6,21,6,"6","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",4,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","o","27-.002-.008-.","Cantharidae","Cantharis","pellucida","Cantharis pellucida",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",2,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","o","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",2,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","50-.009-.001-.","Nitidulidae","Epuraea","melanocephala","Epuraea melanocephala",3,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",4,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","o","27-.002-.025-.","Cantharidae","Cantharis","decipiens","Cantharis decipiens",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","90-.003-.001-.","Anthribidae","Tropideres","albirostris","Tropideres albirostris",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",3,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","74-.003-.002-.","Aderidae","Euglenes","oculatus","Euglenes oculatus",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","60-.003-.001-.","Zopheridae","Pycnomerus","terebrans","Pycnomerus terebrans",2,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",2,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",12,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",2,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","o","62-.031-.001-.","Coccinellidae","Calvia","decemguttata","Calvia decemguttata",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","Dromius quadrimaculatus",2,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",2,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","62-.022-.001-.","Coccinellidae","Tytthaspis","sedecimpunctata","Tytthaspis sedecimpunctata",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","23-.114-.007-.","Staphylinidae","Tachyporus","hypnorum","Tachyporus hypnorum",2,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","91-.011-.003-.","Curculionidae","Hylesinus","varius","Hylesinus varius",54,"Lower","Fraxinus"
"15",2017,13,9,27,9,"13","u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",2,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","o","29-.006-.0032.","Malachiidae","Malachius","bipustulatus","Malachius bipustulatus",1,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","59-.006-.001-.","Mycetophagidae","Berginus","tamarisci","Berginus tamarisci",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",7,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","62-.027-.002-.","Coccinellidae","Oenopia","conglobata","Oenopia conglobata",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","88-.0061.003-.","Chrysomelidae","Oulema","obscura","Oulema obscura",1,"Lower","Fraxinus"
"15",2017,2,8,16,8,"10","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Fraxinus"
"15",2017,13,9,27,9,"13","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",3,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",4,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","73-.004-.010-.","Scraptiidae","Anaspis","maculata","Anaspis maculata",2,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","91-.011-.001-.","Curculionidae","Hylesinus","crenatus","Hylesinus crenatus",1,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","27-.002-.025-.","Cantharidae","Cantharis","decipiens","Cantharis decipiens",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","93-.044-.010-.","Curculionidae","Sitona","lineatus","Sitona lineatus",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","88-.049-.002-.","Chrysomelidae","Phyllotreta","vittula","Phyllotreta vittula",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","68-.014-.001-.","Ptinidae","Ptilinus","pectinicornis","Ptilinus pectinicornis",2,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","55-.014-.028-.","Cryptophagidae","Atomaria","analis","Atomaria analis",2,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","93-.078-.005-.","Curculionidae","Rhyncolus","punctatulus","Rhyncolus punctatulus",4,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","86-.002-.001-.","Lucanidae","Dorcus","parallelipipedus","Dorcus parallelipipedus",1,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",16,"Lower","Fraxinus"
"15",2017,12,4,26,4,"2","u","93-.178-.001-.","Curculionidae","Stereonychus","fraxini","Stereonychus fraxini",1,"Lower","Fraxinus"
"15",2017,12,4,26,4,"2","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","91-.001-.001-.","Curculionidae","Scolytus","rugulosus","Scolytus rugulosus",1,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",8,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","o","68-.0011.001-.","Ptinidae","Ptinomorphus","imperialis","Ptinomorphus imperialis",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","68-.0011.001-.","Ptinidae","Ptinomorphus","imperialis","Ptinomorphus imperialis",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","91-.011-.003-.","Curculionidae","Hylesinus","varius","Hylesinus varius",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","u","52-.001-.009-.","Monotomidae","Rhizophagus","bipustulatus","Rhizophagus bipustulatus",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",2,"Lower","Fraxinus"
"15",2017,2,8,16,8,"10","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",3,"Lower","Fraxinus"
"15",2017,2,8,16,8,"10","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",4,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","o","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",3,"Lower","Fraxinus"
"15",2017,29,3,12,4,"1","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",5,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",2,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","59-.004-.010-.","Mycetophagidae","Mycetophagus","populi","Mycetophagus populi",2,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","Mycetochara axillaris",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","73-.004-.022-.","Scraptiidae","Anaspis","flava","Anaspis flava",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","492.002-.002-.","Cerylonidae","Cerylon","histeroides","Cerylon histeroides",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",6,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","58-.005-.0031.","Latridiidae","Cartodere","nodifer","Cartodere nodifer",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","54-.003-.004-.","Erotylidae","Dacne","bipustulata","Dacne bipustulata",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Stenagostus rhombeus",1,"Lower","Fraxinus"
"15",2017,19,7,2,8,"9","u","12-.001-.004-.","Silphidae","Nicrophorus","investigator","Nicrophorus investigator",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","34-.001-.011-.","Elateridae","Ampedus","cardinalis","Ampedus cardinalis",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","58-.003-.0081.","Latridiidae","Latridius","hirtus","Latridius hirtus",1,"Lower","Fraxinus"
"15",2017,7,6,21,6,"6","u","79-.001-.001-.","Mordellidae","Tomoxia","bucephala","Tomoxia bucephala",1,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",2,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","492.002-.002-.","Cerylonidae","Cerylon","histeroides","Cerylon histeroides",1,"Lower","Fraxinus"
"15",2017,23,5,7,6,"5","u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Litargus connexus",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",1,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","o","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",1,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",4,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","68-.014-.001-.","Ptinidae","Ptilinus","pectinicornis","Ptilinus pectinicornis",1,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","87-.087-.001-.","Cerambycidae","Tetrops","praeustus","Tetrops praeustus",2,"Lower","Fraxinus"
"15",2017,12,4,26,4,"2","o","23-.114-.007-.","Staphylinidae","Tachyporus","hypnorum","Tachyporus hypnorum",1,"Lower","Fraxinus"
"15",2017,12,4,26,4,"2","o","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Lower","Fraxinus"
"15",2017,12,4,26,4,"2","u","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",1,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","o","62-.031-.002-.","Coccinellidae","Calvia","quatuordecimguttata","Calvia quatuordecimguttata",1,"Lower","Fraxinus"
"15",2017,21,6,5,7,"7","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","91-.036-.005-.","Curculionidae","Xyleborus","monographus","Xyleborus monographus",1,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",1,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Lower","Fraxinus"
"15",2017,30,8,13,9,"12","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",1,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","u","30-.005-.009-.","Dasytidae","Dasytes","aeratus","Dasytes aeratus",1,"Lower","Fraxinus"
"15",2017,26,4,10,5,"3","u","91-.011-.003-.","Curculionidae","Hylesinus","varius","Hylesinus varius",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Lower","Fraxinus"
"15",2017,10,5,23,5,"4","u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",1,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","68-.014-.001-.","Ptinidae","Ptilinus","pectinicornis","Ptilinus pectinicornis",1,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","59-.004-.004-.","Mycetophagidae","Mycetophagus","salicis","Mycetophagus salicis",2,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",2,"Lower","Fraxinus"
"15",2017,16,8,30,8,"11","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",9,"Lower","Fraxinus"
"15",2017,16,8,30,8,"11","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",5,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","Hylesinus toranio",3,"Lower","Fraxinus"
"15",2017,5,7,19,7,"8","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",3,"Lower","Fraxinus"
